Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2014 GU34),2014-Apr-02 23:23 ±   00:02,5.0/0.0128,4.9/0.0127,6.44,6.40,131,25.6,4,APO*
(2014 GG45),2014-Apr-09 12:08 ±,5.0/0.0128,5.0/0.0128,20.93,20.92,694,24.8,3,APO*
(2014 UK175),2014-Oct-22 00:40 ±   00:01,5.2/0.0133,5.1/0.0132,6.21,6.17,246,27.1,3,APO*
(2010 JO33),2014-May-20 04:37 ±,5.2/0.0133,5.2/0.0133,8.20,8.17,7.91e+05,25.0,21,APO*
(2014 UL191),2014-Oct-29 04:49 ±,5.2/0.0134,5.2/0.0134,19.98,19.97,941,24.4,4,APO*
(2014 KO2),2014-May-21 21:49 ±   00:02,5.2/0.0135,5.2/0.0134,4.13,4.08,435,28.2,3,AMO*
(2014 WF200),2014-Nov-15 02:07 ±   00:02,5.3/0.0136,5.2/0.0134,8.80,8.77,113,27.4,2,APO*
(2014 LL26),2014-Jun-10 09:38 ±,5.3/0.0137,5.3/0.0136,5.13,5.09,752,25.3,7,AMO*
(2015 BK4),2015-Jan-25 01:25 ±,5.3/0.0137,5.3/0.0137,11.10,11.08,1.24e+03,24.9,5,APO*
(2014 SR223),2014-Sep-21 22:44 ±,5.3/0.0137,5.3/0.0137,14.33,14.32,1.33e+03,26.8,13,APO*
(2014 HM197),2014-May-04 19:42 ±   00:24,5.4/0.0138,4.8/0.0124,14.61,14.60,20.1,27.2,2,APO*
(2014 UW56),2014-Oct-19 21:16 ±   00:02,5.4/0.0140,5.3/0.0137,8.78,8.76,88.2,28.2,3,APO*
(2014 QL365),2014-Sep-01 14:11 ±,5.5/0.0142,5.5/0.0142,7.73,7.70,1.15e+03,27.0,5,APO*
(2014 TK),2014-Sep-29 01:31 ±,5.6/0.0143,5.6/0.0143,22.26,22.25,844,24.2,8,APO*
(2014 WX4),2014-Nov-13 09:26 ±,5.6/0.0143,5.5/0.0143,6.63,6.60,416,26.4,3,APO*
(2015 AK1),2015-Jan-18 23:17 ±,5.6/0.0143,5.6/0.0143,12.17,12.15,1.47e+03,24.4,6,APO*
(2014 WK365),2014-Nov-24 19:14 ±,5.7/0.0146,5.7/0.0146,14.41,14.40,1.21e+03,25.4,3,APO*
(2014 QV363),2014-Aug-21 00:12 ±   00:04,5.7/0.0147,5.6/0.0145,10.68,10.66,164,25.9,2,APO*
(2014 TB),2014-Oct-01 19:39 ±   00:04,5.8/0.0149,5.8/0.0148,3.74,3.69,547,28.2,2,APO*
(2014 HQ4),2014-Apr-13 00:44 ±   00:07,5.8/0.0149,5.8/0.0148,15.17,15.16,210,26.2,7,APO*
(2014 HT178),2014-May-08 11:30 ±,5.9/0.0153,5.8/0.0149,14.53,14.52,86.8,26.6,5,APO*
(2014 HT197),2014-May-04 04:01 ±   00:09,5.9/0.0153,4.9/0.0126,13.56,13.55,11.7,28.6,2,APO*
(2014 WA201),2014-Nov-16 16:14 ±,6.0/0.0153,6.0/0.0153,12.00,11.99,2.21e+03,26.9,7,APO*
(2014 TC),2014-Oct-03 11:23 ±,6.0/0.0154,6.0/0.0153,10.19,10.17,660,26.2,2,ATE*
(2014 KM39),2014-May-11 18:31 ±   00:01,6.1/0.0156,6.1/0.0156,12.04,12.02,5.04e+03,24.4,7,ATE*
(2014 QD364),2014-Aug-29 07:56 ±   00:02,6.1/0.0156,6.1/0.0156,2.31,2.23,1.27e+03,27.2,7,ATE*
(2015 FM),2015-Mar-23 02:50 ±,6.1/0.0156,6.1/0.0156,15.05,15.04,1.02e+03,26.2,6,APO*
(2014 XE32),2014-Dec-10 12:48 ±,6.1/0.0158,6.1/0.0156,13.55,13.54,180,26.3,2,APO*
(2007 HB15),2014-Apr-27 20:08 ±   11:17,6.1/0.0158,3.7/0.0096,5.92,5.89,1.1e+05,27.7,8,APO*
(2015 DC54),2015-Feb-15 20:14 ±,6.2/0.0159,6.2/0.0159,7.52,7.49,783,26.2,3,APO*
(2014 WF201),2014-Nov-23 11:38 ±,6.2/0.0160,6.2/0.0160,5.08,5.05,2.19e+03,25.6,8,APO*
(2014 RW18),2014-Sep-20 01:31 ±,6.3/0.0161,6.3/0.0161,7.33,7.31,1.31e+03,25.9,5,APO*
(2015 CA40),2015-Feb-23 21:49 ±,6.3/0.0162,6.3/0.0162,8.07,8.05,2.7e+03,24.7,13,APO*
(2014 HC177),2014-Apr-18 20:16 ±   00:01,6.3/0.0163,6.3/0.0162,9.06,9.05,348,24.7,4,APO*
(2014 SS261),2014-Sep-28 09:54 ±,6.4/0.0163,6.3/0.0163,6.14,6.12,2.39e+03,26.3,7,ATE*
(2015 FO34),2015-Mar-23 17:49 ±,6.4/0.0165,6.4/0.0165,5.11,5.08,652,27.6,2,APO*
